sample,year,lat,lon,pop1,cohort_2,current_m,current_z,sst,sal,sea_ice_thick,sea_ice_conc,mxl0.01,mxl0.03
1-425,2005,-64,178,88,post2000,-0.012347943,0.128360433,-1.691546667,33.85843333,0.549208333,0.618807667,67.72613333,75.77736667
168,2005,-61.3958,-34.7408,48,post2000,0.022604267,0.041226333,-1.83992,34.14993333,1.298173667,0.888568667,49.2659,51.02383333
312,2000,-74.6417,-27.8392,48,post2000,-0.005491928,-0.067193883,-1.817817667,34.19696667,1.120543,0.9340484,142.7213933,185.2046
313,2000,-74.6417,-27.8392,48,post2000,-0.005491928,-0.067193883,-1.817817667,34.19696667,1.120543,0.9340484,142.7213933,185.2046
314,2000,-74.6417,-27.8392,48,post2000,-0.005491928,-0.067193883,-1.817817667,34.19696667,1.120543,0.9340484,142.7213933,185.2046
315,2000,-74.6417,-27.8392,48,post2000,-0.005491928,-0.067193883,-1.817817667,34.19696667,1.120543,0.9340484,142.7213933,185.2046
33-429,2005,-72,-179,88,post2000,0.004484833,-0.0004322,-1.78138,34.3248,0.830319,0.939686667,73.37056667,78.37106667
34-430,2005,-72,-179,88,post2000,0.004484833,-0.0004322,-1.78138,34.3248,0.830319,0.939686667,73.37056667,78.37106667
35-431,2005,-72,-179,88,post2000,0.004484833,-0.0004322,-1.78138,34.3248,0.830319,0.939686667,73.37056667,78.37106667
412,2010,-66.4918,71.7418,58,post2000,-0.021735747,-0.073599793,-1.791821667,34.19372667,1.123781667,0.926045533,142.4087667,156.5350333
419,2010,-66.5982,71.4847,58,post2000,-0.020877983,-0.073867807,-1.793601667,34.19384667,1.124298333,0.918919067,143.0238,155.862
42-438,2005,-73,180,88,post2000,-0.004510843,-0.046178753,-1.780503,34.30448667,0.748108767,0.9312059,91.68686667,97.82913333
433,2005,-66.4365,71.5988,58,post2000,-0.015647373,-0.066965173,-1.788594333,34.34148333,0.852290133,0.9048207,151.4382667,172.5757
4-456,2005,-65,176,88,post2000,-0.025646867,0.0999426,-1.7683,34.05196667,0.749079333,0.869799667,60.91116667,64.53003333
50-446,2005,-73,180,88,post2000,-0.004510843,-0.046178753,-1.780503,34.30448667,0.748108767,0.9312059,91.68686667,97.82913333
527,2005,-61.5648,-38.718,48,post2000,0.0506499,0.00562857,-1.844486667,34.11856667,1.65509,0.875565667,50.13313333,53.90203333
9432,1985,-62.0783,-57.75,48,pre2000,0.006463963,0.036231006,-1.556732333,34.18573667,0.172021173,0.045898193,89.79066333,106.3021667
9479,1985,-67.2,44,58,pre2000,-0.092040187,-0.1281386,-1.788572667,34.2966,0.991331033,0.9532005,188.5540333,226.0261333
9506,1985,-76.9542,179,88,pre2000,0.005819276,-0.10890953,-1.406472667,34.38962333,0.493759267,0.227741233,364.6649333,379.0352
9512,1985,-76.9542,179,88,pre2000,0.005819276,-0.10890953,-1.406472667,34.38962333,0.493759267,0.227741233,364.6649333,379.0352
9522,1985,-73,171,88,pre2000,-0.006936221,0.03066768,-1.792849,34.58598667,0.911472367,0.8949948,561.2873667,630.7376667
9525,1985,-71,176,88,pre2000,0.017849621,-0.002152766,-1.674880333,34.40784667,0.8392055,0.935586633,115.9565333,175.811
9540,1985,-70,179,88,pre2000,0.05570961,-0.073734153,-1.726241333,34.32425333,0.625331,0.9518668,98.8641,115.4659667
9544,1985,-70,179,88,pre2000,0.05570961,-0.073734153,-1.726241333,34.32425333,0.625331,0.9518668,98.8641,115.4659667
