sample,year,lat,lon,pop1,cohort_2,current_m,current_z,sst,sal,sea_ice_thick,sea_ice_conc,mxl0.01,mxl0.03
1-425,2020,-64,178,88,post2000,0.050683,0.124491667,-1.603833333,33.92193333,0.823863333,0.72405,52.91413333,68.18463333
168,2019,-61.3958,-34.7408,48,post2000,0.013140217,0.020439,-1.799133333,34.3276,1.045366667,0.925393333,59.59736667,63.4576
312,2013,-74.6417,-27.8392,48,post2000,-0.015518433,-0.047698667,-1.8354,34.0854,1.426633333,0.949293333,132.7829667,154.9733667
313,2013,-74.6417,-27.8392,48,post2000,-0.015518433,-0.047698667,-1.8354,34.0854,1.426633333,0.949293333,132.7829667,154.9733667
314,2013,-74.6417,-27.8392,48,post2000,-0.015518433,-0.047698667,-1.8354,34.0854,1.426633333,0.949293333,132.7829667,154.9733667
315,2013,-74.6417,-27.8392,48,post2000,-0.015518433,-0.047698667,-1.8354,34.0854,1.426633333,0.949293333,132.7829667,154.9733667
33-429,2020,-72,-179,88,post2000,0.0082794,-0.020669,-1.739233333,34.24653333,1.07017,0.934,72.24276667,77.2812
34-430,2020,-72,-179,88,post2000,0.0082794,-0.020669,-1.739233333,34.24653333,1.07017,0.934,72.24276667,77.2812
35-431,2020,-72,-179,88,post2000,0.0082794,-0.020669,-1.739233333,34.24653333,1.07017,0.934,72.24276667,77.2812
412,2019,-66.4918,71.7418,58,post2000,-0.029481333,-0.086916667,-1.812333333,34.1545,1.143466667,0.930273333,89.82893333,98.851
419,2019,-66.5982,71.4847,58,post2000,-0.028469333,-0.081959333,-1.809133333,34.1573,1.064313333,0.928593333,88.39656667,97.1452
42-438,2020,-73,180,88,post2000,0.008638783,-0.073874667,-1.7513,34.23593333,0.962773333,0.92815,71.2539,84.4758
433,2019,-66.4365,71.5988,58,post2000,-0.030750667,-0.095181333,-1.8109,34.1653,1.167,0.92819,89.3803,97.65216667
4-456,2020,-65,176,88,post2000,-0.008160667,0.051741,-1.739933333,34.23133333,0.942546667,0.889826667,78.2136,86.44756667
50-446,2020,-73,180,88,post2000,0.008638783,-0.073874667,-1.7513,34.23593333,0.962773333,0.92815,71.2539,84.4758
527,2019,-61.5648,-38.718,48,post2000,0.038241,-0.003167233,-1.798033333,34.37266667,1.2642,0.909793333,60.45603333,66.76193333
9432,2001,-62.0783,-57.75,48,pre2000,0.04548,0.064189667,-1.573566667,34.3809,0.236617233,0.051931317,190.8613667,247.1182333
9479,2001,-67.2,44,58,pre2000,-0.059918667,-0.078778333,-1.765,34.3546,0.872106667,0.943886667,288.6764,372.2283667
9506,2001,-76.9542,179,88,pre2000,-0.001721567,-0.0463271,-1.677566667,34.15136667,0.54324,0.328973333,297.7502667,307.4762667
9512,2001,-76.9542,179,88,pre2000,-0.001721567,-0.0463271,-1.677566667,34.15136667,0.54324,0.328973333,297.7502667,307.4762667
9522,2001,-73,171,88,pre2000,0.001858203,0.02208,-1.7773,34.3409,0.97249,0.913856667,163.8182667,177.3106333
9525,2001,-71,176,88,pre2000,0.004738667,-0.005272967,-1.802233333,34.28043333,0.91389,0.947753333,79.7549,82.91143333
9540,2001,-70,179,88,pre2000,0.023627,-0.027087333,-1.760633333,34.09133333,0.8778,0.948556667,62.11746667,66.01546667
9544,2001,-70,179,88,pre2000,0.023627,-0.027087333,-1.760633333,34.09133333,0.8778,0.948556667,62.11746667,66.01546667
