sample,year,lat,lon,pop1,cohort_2,current_m,current_z,sst,sal,sea_ice_thick,sea_ice_conc,mxl0.01,mxl0.03
1-425,2005,-64.8,167,88,post2000,0.026479896,0.217659967,-3.184681333,67.94386,1.017083667,1.124710533,138.5082333,163.2942333
168,2005,-60.7,-27.8,48,post2000,0.054947,0.035812733,-1.821176667,34.23103333,0.89903,0.867797333,65.29513333,71.45443333
312,2000,-60.7,-27.8,48,post2000,0.0497776,0.038468,-1.78143,34.35956667,0.761614667,0.842743333,69.7308,83.1802
313,2000,-60.7,-27.8,48,post2000,0.0497776,0.038468,-1.78143,34.35956667,0.761614667,0.842743333,69.7308,83.1802
314,2000,-60.7,-27.8,48,post2000,0.0497776,0.038468,-1.78143,34.35956667,0.761614667,0.842743333,69.7308,83.1802
315,2000,-60.7,-27.8,48,post2000,0.0497776,0.038468,-1.78143,34.35956667,0.761614667,0.842743333,69.7308,83.1802
33-429,2005,-64.8,167,88,post2000,0.026479896,0.217659967,-3.184681333,67.94386,1.017083667,1.124710533,138.5082333,163.2942333
34-430,2005,-64.8,167,88,post2000,0.026479896,0.217659967,-3.184681333,67.94386,1.017083667,1.124710533,138.5082333,163.2942333
35-431,2005,-64.8,167,88,post2000,0.026479896,0.217659967,-3.184681333,67.94386,1.017083667,1.124710533,138.5082333,163.2942333
412,2010,-62.2,76.6,58,post2000,0.033733223,0.030082077,-1.288624667,34.09784333,0.289805433,0.280473833,92.66758,102.412
419,2010,-62.2,76.6,58,post2000,0.033733223,0.030082077,-1.288624667,34.09784333,0.289805433,0.280473833,92.66758,102.412
42-438,2005,-64.8,167,88,post2000,0.026479896,0.217659967,-3.184681333,67.94386,1.017083667,1.124710533,138.5082333,163.2942333
433,2005,-62.2,76.6,58,post2000,0.029261677,0.026911983,-1.395616667,34.07639333,0.328352967,0.375329067,87.47301333,100.0219667
4-456,2005,-64.8,167,88,post2000,0.026479896,0.217659967,-3.184681333,67.94386,1.017083667,1.124710533,138.5082333,163.2942333
50-446,2005,-64.8,167,88,post2000,0.026479896,0.217659967,-3.184681333,67.94386,1.017083667,1.124710533,138.5082333,163.2942333
527,2005,-60.7,-27.8,48,post2000,0.054947,0.035812733,-1.821176667,34.23103333,0.89903,0.867797333,65.29513333,71.45443333
9432,1985,-60.7,-27.8,48,pre2000,0.063604817,0.05467808,-1.796573333,34.36803333,0.516154733,0.6618425,79.63120333,103.8039333
9479,1985,-66.8,31.8,58,pre2000,-0.013999686,-0.040691833,-1.796875333,34.33437,0.7163301,0.953786567,93.84410667,107.2148
9506,1985,-64.8,167,88,pre2000,0.014972512,0.175607367,-1.844649333,68.45183667,0.405278033,0.4066886,254.5868667,314.8443667
9512,1985,-64.8,167,88,pre2000,0.014972512,0.175607367,-1.844649333,68.45183667,0.405278033,0.4066886,254.5868667,314.8443667
9522,1985,-64.8,167,88,pre2000,0.014972512,0.175607367,-1.844649333,68.45183667,0.405278033,0.4066886,254.5868667,314.8443667
9525,1985,-64.8,167,88,pre2000,0.014972512,0.175607367,-1.844649333,68.45183667,0.405278033,0.4066886,254.5868667,314.8443667
9540,1985,-64.8,167,88,pre2000,0.014972512,0.175607367,-1.844649333,68.45183667,0.405278033,0.4066886,254.5868667,314.8443667
9544,1985,-64.8,167,88,pre2000,0.014972512,0.175607367,-1.844649333,68.45183667,0.405278033,0.4066886,254.5868667,314.8443667
