PC1,PC2,PC3,fishing_ind_sum
-1.315406,-2.2751804,0.03795461,398
2.443966,-0.7385953,-0.42540457,0
2.257708,-0.3269004,-0.24368411,0
2.257708,-0.3269004,-0.24368411,0
2.257708,-0.3269004,-0.24368411,0
2.257708,-0.3269004,-0.24368411,0
-1.315406,-2.2751804,0.03795461,398
-1.315406,-2.2751804,0.03795461,398
-1.315406,-2.2751804,0.03795461,398
1.925526,2.1398823,0.09471647,356
1.925526,2.1398823,0.09471647,356
-1.315406,-2.2751804,0.03795461,398
1.862587,1.8481631,0.40816668,3480
-1.315406,-2.2751804,0.03795461,398
-1.315406,-2.2751804,0.03795461,398
2.443966,-0.7385953,-0.42540457,0
2.27607,0.3936561,-1.20249689,0
1.153771,0.3407687,3.24590443,0
-2.309066,1.9747837,-0.18019065,0
-2.309066,1.9747837,-0.18019065,0
-2.309066,1.9747837,-0.18019065,0
-2.309066,1.9747837,-0.18019065,0
-2.309066,1.9747837,-0.18019065,0
-2.309066,1.9747837,-0.18019065,0
