PC1,PC2,PC3,fishing_ind_sum
1.29423931,-3.11351823,-1.8429308,398
2.17312201,-0.268582593,0.378999,0
0.67634686,0.91248116,-0.2113816,0
0.67634686,0.91248116,-0.2113816,0
0.67634686,0.91248116,-0.2113816,0
0.67634686,0.91248116,-0.2113816,0
0.79793099,-0.123545934,0.4254513,398
0.79793099,-0.123545934,0.4254513,398
0.79793099,-0.123545934,0.4254513,398
0.64271035,0.8906372,-0.6463978,356
0.63967306,0.880142773,-0.6242465,356
0.46256521,0.087593131,0.1882574,398
-0.09481801,0.805641103,-0.1208155,3480
1.60952376,-1.474104159,-1.4998891,398
0.46256521,0.087593131,0.1882574,398
2.51575924,0.161691035,1.216707,0
-1.62014464,-3.769645479,-0.4249305,0
-0.38097431,2.033056281,-2.3776876,0
-4.53952513,-0.895469516,0.1499047,0
-4.53952513,-0.895469516,0.1499047,0
-3.48111247,2.924923497,-0.3030563,0
-0.28004158,0.003899379,0.9565658,0
0.01840136,-0.368837439,2.0902654,0
0.01840136,-0.368837439,2.0902654,0
