Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
CM062264.1	35750	48148	1	plus	Mitochondrial carrier like 2		0	protein-coding		KAK1891176.1	301	KUDE01_010004
CM062264.1	48149	52535	1	minus	Zinc finger protein 414		0	protein-coding		KAK1891667.1	305	KUDE01_010495
CM062264.1	58144	77184	1	minus	Ankyrin repeat and death domain containing protein 1A		0	protein-coding		KAK1890781.1	496	KUDE01_009612
CM062264.1	80085	95172	1	minus	Pleckstrin like domain containing family O member 2		0	protein-coding		KAK1890796.1	705	KUDE01_009627
CM062264.1	122967	134680	1	plus	RWD domain containing protein 3		0	protein-coding		KAK1891872.1	219	KUDE01_010697
CM062264.1	137858	155773	1	plus	Fumarylacetoacetase		0	protein-coding		KAK1891181.1	418	KUDE01_010009
CM062264.1	212444	242948	1	plus	Aryl hydrocarbon receptor nuclear translocator 2		0	protein-coding		KAK1890934.1	511	KUDE01_009765
CM062264.1	324825	325313	1	plus	Alpha/beta hydrolase domain containing protein 17C		0	protein-coding		KAK1890891.1	162	KUDE01_009722
CM062264.1	332922	350154	1	plus	Alpha/beta hydrolase domain containing protein 17C		0	protein-coding		KAK1890821.1	154	KUDE01_009652
CM062264.1	367527	370240	1	minus	DNA mismatch repair protein MutS		0	protein-coding		KAK1891292.1	96	KUDE01_010120
CM062264.1	408193	422399	1	minus	Co-chaperone protein DjlA		0	protein-coding		KAK1891375.1	77	KUDE01_010203
CM062264.1	474705	509716	1	plus	Cell migration-inducing and hyaluronan-binding protein		0	protein-coding		KAK1891194.1	410	KUDE01_010022
CM062264.1	512874	513260	1	minus	Sugar transport protein MST6		0	protein-coding		KAK1891794.1	128	KUDE01_010620
CM062264.1	515555	546477	1	plus	Cell migration-inducing and hyaluronan-binding protein		0	protein-coding		KAK1891024.1	323	KUDE01_009854
CM062264.1	577543	585910	1	minus	LRP chaperone MESD		0	protein-coding		KAK1890867.1	218	KUDE01_009698
CM062264.1	594132	595196	1	plus	Talin rod domain containing protein 1		0	protein-coding		KAK1891930.1	354	KUDE01_010754
CM062264.1	619701	631958	1	minus	THO complex subunit 2		0	protein-coding		KAK1891535.1	389	KUDE01_010363
CM062264.1	636219	674959	1	plus	Pro-interleukin-16		0	protein-coding		KAK1890949.1	1461	KUDE01_009780
CM062264.1	677027	698994	1	plus	LINE-1 type transposase domain containing protein 1		0	protein-coding		KAK1891283.1	146	KUDE01_010111
CM062264.1	703216	709168	1	minus	StAR-related lipid transfer protein 5		0	protein-coding		KAK1891495.1	132	KUDE01_010323
CM062264.1	723204	758122	1	minus	Transmembrane channel-like protein 3		0	protein-coding		KAK1891620.1	667	KUDE01_010448
CM062264.1	828941	830811	1	plus	THAP domain containing protein 5		0	protein-coding		KAK1891443.1	219	KUDE01_010271
CM062264.1	840864	846535	1	plus	U3 small nucleolar RNA-associated protein 10		0	protein-coding		KAK1890844.1	1301	KUDE01_009675
CM062264.1	886613	887653	1	minus	Sterile alpha motif domain containing protein 3		0	protein-coding		KAK1890998.1	346	KUDE01_009828
CM062264.1	990130	994869	1	minus	Reticulocyte-binding protein 2 like a		0	protein-coding		KAK1890881.1	1029	KUDE01_009712
CM062264.1	1068582	1071922	1	minus	RNA-binding protein MEX3B		0	protein-coding		KAK1891697.1	538	KUDE01_010525
CM062264.1	1082439	1086697	1	minus	Zinc finger BED domain containing protein 1		0	protein-coding		KAK1890661.1	300	KUDE01_009492
CM062264.1	1186715	1197699	1	minus	Elongation factor-like GTPase 1		0	protein-coding		KAK1890736.1	132	KUDE01_009567
CM062264.1	1225961	1226227	1	plus	LINE-1 retrotransposable element ORF1 protein		0	protein-coding		KAK1890979.1	88	KUDE01_009809
